Start Date,End Date,Event Name
25/12/2022,02/01/2023,Christmas holiday
03/01/2023,26/02/2023,Summer Term- 8 weeks (See the 2023 Handbook for specific dates for subjects delivered over the Summer Term)
26/01/2023,26/01/2023,Australia Day holiday
13/02/2023,20/02/2023,Summer Examinations
20/02/2023,24/02/2023,Melbourne Orientation & Commencement Ceremonies
27/02/2023,28/05/2023,Semester 1- 12 teaching weeks
13/03/2023,17/03/2023,Employability Week
07/04/2023,16/04/2023,"Easter, Non-teaching period & UA Common Vacation Week"
07/04/2023,11/04/2023,Easter holiday
25/04/2023,25/04/2023,ANZAC Day holiday
29/05/2023,02/06/2023,SWOT Vac
05/06/2023,23/06/2023,Examinations
12/06/2023,12/06/2023,King's Birthday holiday- Students with a scheduled exam on the King’s birthday holiday will be required to sit the exam
26/06/2023,26/06/2023,Start of Winter Term intensive subjects- See the 2023 Handbook for specific dates for subjects delivered over the Winter Term
07/07/2023,07/07/2023,Results final release date
13/07/2023,20/07/2023,Special/Supplementary Examinations
17/07/2023,21/07/2023,Melbourne Orientation
24/07/2023,22/10/2023,Semester 2- 12 teaching weeks
07/08/2023,11/08/2023,Employability Week
09/08/2023,16/08/2023,Graduation in-person ceremonies
25/09/2023,01/10/2023,Semester 2 non-teaching period & UA Common Vacation Week
29/09/2023,29/09/2023,AFL Grand Final Eve holiday- Friday before AFL Grand Final
23/10/2023,27/10/2023,SWOT Vac
30/10/2023,17/11/2023,Examinations
01/12/2023,01/12/2023,Results final release date
07/12/2023,14/12/2023,Special/Supplementary Examinations
08/12/2023,18/12/2023,Graduation in-person ceremonies
25/12/2023,01/01/2024,Christmas holiday
